MsgID.LOCAL_VELOCITY,159.6170000,0.0003597,-0.0000747,0.0000040
MsgID.GLOBAL_POSITION,0.0000000,-122.3976929,37.7937040,0.0790000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,159.8750000,135.9220581,-21.1868382,-0.0820520
MsgID.LOCAL_VELOCITY,159.8750000,0.0003660,-0.0000725,0.0000326
MsgID.GLOBAL_POSITION,0.0000000,-122.3976916,37.7937037,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_POSITION,160.1250000,136.0707092,-21.2464619,-0.0824965
MsgID.LOCAL_VELOCITY,160.1250000,0.0003462,-0.0000695,0.0000239
MsgID.GLOBAL_POSITION,0.0000000,-122.3976923,37.7937051,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.3750000,135.9888306,-21.2662849,-0.0824993
MsgID.LOCAL_VELOCITY,160.3750000,0.0003522,-0.0000730,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3976925,37.7937043,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.6250000,135.9286652,-21.4874172,-0.0824993
MsgID.LOCAL_VELOCITY,160.6250000,0.0003778,0.0000043,-0.0000436
MsgID.GLOBAL_POSITION,0.0000000,-122.3976950,37.7937038,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,160.8750000,135.8742828,-21.4188766,-0.0824993
MsgID.LOCAL_VELOCITY,160.8750000,0.0003547,-0.0000728,0.0000303
MsgID.GLOBAL_POSITION,0.0000000,-122.3976942,37.7937033,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,161.1250000,136.0236359,-21.3706951,-0.0824968
MsgID.LOCAL_VELOCITY,161.1250000,0.0003576,-0.0000770,-0.0000070
MsgID.GLOBAL_POSITION,0.0000000,-122.3976937,37.7937046,0.0820000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,161.3750000,135.9067078,-21.3595982,-0.0820553
